Sample in Buffer,Sample in Window,TRIGGER,FMsignal_sys_scaled[31:0],I_FIR_data_tvalid,I_FIR2_data_tvalid,Dac_Out_Sig[11:0]
0,0,0,-368194619,0,0,1701
1,1,0,-368194619,0,0,1701
2,2,0,-368194619,0,0,1701
3,3,0,-368194619,0,0,1701
4,4,0,-368194619,0,0,1701
5,5,0,-368194619,0,0,1701
6,6,0,-368194619,0,0,1701
7,7,0,-368194619,0,0,1701
8,8,0,-368194619,0,0,1701
9,9,0,-368194619,0,0,1701
10,10,0,-368194619,0,0,1701
11,11,0,-368194619,0,0,1701
12,12,0,-368194619,0,0,1701
13,13,0,-368194619,0,0,1701
14,14,0,-368194619,0,0,1701
15,15,0,-368194619,0,0,1701
16,16,0,-368194619,0,0,1701
17,17,0,-368194619,0,0,1701
18,18,0,-368194619,0,0,1701
19,19,0,-368194619,0,0,1701
20,20,0,-368194619,0,0,1701
21,21,0,-368194619,0,0,1701
22,22,0,-368194619,0,0,1701
23,23,0,-368194619,0,0,1701
24,24,0,-368194619,0,0,1701
25,25,0,-368194619,0,0,1701
26,26,0,-368194619,0,0,1701
27,27,0,-368194619,0,0,1701
28,28,0,-368194619,0,0,1701
29,29,0,-368194619,0,0,1701
30,30,0,-368194619,0,0,1701
31,31,0,-368194619,0,0,1701
32,32,0,-368194619,0,0,1701
33,33,0,-368194619,0,0,1701
34,34,0,-368194619,0,0,1701
35,35,0,-368194619,0,0,1701
36,36,0,-368194619,0,0,1701
37,37,0,-368194619,0,0,1701
38,38,0,-368194619,0,0,1701
39,39,0,-368194619,0,0,1701
40,40,0,-368194619,0,0,1701
41,41,0,-368194619,0,0,1701
42,42,0,-368194619,0,0,1701
43,43,0,-368194619,0,0,1701
44,44,0,-368194619,0,0,1701
45,45,0,-368194619,0,0,1701
46,46,0,-368194619,0,0,1701
47,47,0,-368194619,0,0,1701
48,48,0,-368194619,0,0,1701
49,49,0,-368194619,1,0,1701
50,50,0,-368194619,0,0,1701
51,51,0,-368194619,0,0,1701
52,52,0,-368194619,0,0,1701
53,53,0,-368194619,0,0,1701
54,54,0,-368194619,0,0,1701
55,55,0,-368194619,0,0,1701
56,56,0,-368194619,0,0,1701
57,57,0,-368194619,0,0,1701
58,58,0,-368194619,0,0,1701
59,59,0,-368194619,0,0,1701
60,60,0,-368194619,0,0,1701
61,61,0,-368194619,0,0,1701
62,62,0,-368194619,0,0,1701
63,63,0,-368194619,0,0,1701
64,64,0,-368194619,0,0,1701
65,65,0,-368194619,0,0,1701
66,66,0,-368194619,0,0,1701
67,67,0,-368194619,0,0,1701
68,68,0,-368194619,0,0,1701
69,69,0,-368194619,0,0,1701
70,70,0,-368194619,0,0,1701
71,71,0,-368194619,0,0,1701
72,72,0,-368194619,0,0,1701
73,73,0,-368194619,0,0,1701
74,74,0,-370292274,0,0,1701
75,75,0,-370292274,0,0,1701
76,76,0,-370292274,0,0,1701
77,77,0,-370292274,0,0,1701
78,78,0,-370292274,0,0,1701
79,79,0,-370292274,0,0,1701
80,80,0,-370292274,0,0,1701
81,81,0,-370292274,0,0,1701
82,82,0,-370292274,0,0,1701
83,83,0,-370292274,0,0,1701
84,84,0,-370292274,0,0,1701
85,85,0,-370292274,0,0,1701
86,86,0,-370292274,0,0,1701
87,87,0,-370292274,0,0,1701
88,88,0,-370292274,0,0,1701
89,89,0,-370292274,0,0,1701
90,90,0,-370292274,0,0,1701
91,91,0,-370292274,0,0,1701
92,92,0,-370292274,0,0,1701
93,93,0,-370292274,0,0,1701
94,94,0,-370292274,0,0,1701
95,95,0,-370292274,0,0,1701
96,96,0,-370292274,0,0,1701
97,97,0,-370292274,0,0,1701
98,98,0,-370292274,0,0,1701
